Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,17102024,1183075948,0002506
Trade Date <17-OCT-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2186,SUBROS,EQ,54215,18872,34.81
20,2187,SUDARSCHEM,EQ,464766,152569,32.83
20,2188,SUKHJITS,EQ,54472,27060,49.68
20,2189,SULA,EQ,460101,265353,57.67
20,2190,SUMICHEM,EQ,562658,247778,44.04
20,2191,SUMMITSEC,EQ,7849,3980,50.71
20,2192,SUNCLAY,EQ,22006,11907,54.11
20,2193,SUNDARAM,EQ,932381,569146,61.04
20,2194,SUNDARMFIN,EQ,34098,15218,44.63
20,2195,SUNDARMHLD,EQ,178459,75510,42.31
20,2196,SUNDRMFAST,EQ,80182,44488,55.48
20,2197,SUNFLAG,EQ,176776,96610,54.65
20,2198,SUNLITE,SM,43200,33600,77.78
20,2199,SUNPHARMA,EQ,1447059,864227,59.72
20,2200,SUNREST,SM,4800,4800,100.00
20,2201,SUNTECK,EQ,193058,92333,47.83
20,2202,SUNTV,EQ,767746,566454,73.78
20,2203,SUPERHOUSE,EQ,13786,11089,80.44
20,2204,SUPRAJIT,EQ,143326,103425,72.16
20,2205,SUPREMEIND,EQ,41864,17524,41.86
20,2206,SUPREMEPWR,ST,28000,27000,96.43
20,2207,SUPRIYA,EQ,131611,71315,54.19
20,2208,SURAJEST,EQ,542905,430232,79.25
20,2209,SURANAT&P,EQ,181114,112430,62.08
20,2210,SURANI,SM,11600,7000,60.34
20,2211,SURYALAXMI,EQ,21530,12131,56.34
20,2212,SURYAROSNI,EQ,342555,162107,47.32
20,2213,SURYODAY,EQ,205435,131666,64.09
20,2214,SUTLEJTEX,EQ,193426,63886,33.03
20,2215,SUVEN,EQ,136724,71846,52.55
20,2216,SUVENPHAR,EQ,332270,193667,58.29
20,2217,SUVIDHAA,EQ,196192,110753,56.45
20,2218,SUYOG,EQ,23593,13166,55.80
20,2219,SUZLON,EQ,32194681,17136891,53.23
20,2220,SVLL,EQ,5001,3405,68.09
20,2221,SVPGLOB,EQ,178300,111887,62.75
20,2222,SWANENERGY,EQ,656182,238764,36.39
20,2223,SWARAJ,ST,22000,22000,100.00
20,2224,SWARAJENG,EQ,12068,7478,61.97
20,2225,SWASTIK,SM,3600,2400,66.67
20,2226,SWELECTES,EQ,20892,10502,50.27
20,2227,SWSOLAR,EQ,4595470,2469391,53.74
20,2228,SYLVANPLY,SM,62000,26000,41.94
20,2229,SYMPHONY,EQ,128206,53418,41.67
20,2230,SYNCOMF,EQ,3073651,1715425,55.81
20,2231,SYNGENE,EQ,530234,289639,54.62
20,2232,SYNOPTICS,SM,7800,7200,92.31
20,2233,SYRMA,EQ,328796,183533,55.82
20,2234,SYSTANGO,SM,50800,33200,65.35
20,2235,TAC,ST,4800,4800,100.00
20,2236,TAINWALCHM,EQ,11674,7057,60.45
20,2237,TAJGVK,EQ,35548,19589,55.11
20,2238,TAKE,EQ,178723,137649,77.02
20,2239,TALBROAUTO,EQ,102537,69382,67.67
20,2240,TANLA,EQ,412140,175609,42.61
20,2241,TARACHAND,EQ,16439,12576,76.50
20,2242,TARC,EQ,425363,304201,71.52
20,2243,TARMAT,EQ,24917,13807,55.41
20,2244,TARSONS,EQ,27169,17724,65.24
