Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,17102024,1183075948,0002506
Trade Date <17-OCT-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2488,YESBANK,EQ,49372131,23112688,46.81
20,2489,YUDIZ,SM,12000,10400,86.67
20,2490,YUKEN,EQ,4768,3254,68.25
20,2491,ZEAL,SM,13800,11400,82.61
20,2492,ZEEL,EQ,8192849,3753178,45.81
20,2493,ZEELEARN,EQ,3383315,1563158,46.20
20,2494,ZENITHDRUG,ST,25600,24000,93.75
20,2495,ZENSARTECH,EQ,279865,141882,50.70
20,2496,ZENTEC,EQ,294504,136572,46.37
20,2497,ZFCVINDIA,EQ,9939,4857,48.87
20,2498,ZIMLAB,EQ,89948,52217,58.05
20,2499,ZODIACLOTH,EQ,5905,4046,68.52
20,2500,ZOMATO,EQ,25228600,11118568,44.07
20,2501,ZOTA,EQ,8643,5769,66.75
20,2502,ZTECH,ST,8400,8400,100.00
20,2503,ZUARI,EQ,82845,46625,56.28
20,2504,ZUARIIND,EQ,54610,27659,50.65
20,2505,ZYDUSLIFE,EQ,1036269,462790,44.66
20,2506,ZYDUSWELL,EQ,238986,218819,91.56
